,rev_date,rev_title,rev_type,rev_rating,rev_par
223,April 2017,Could improve,NA,30,"Nice hotel, nice food, great location but service could still improve .. Loved their indoor pool! I think you just need to improve the quality of service . Requested for a laundry bag and it took almost half an hour but its not a big issue though I understand busy situations  Still going back to this apartment  Thanks to you guys"
224,May 2017,Mother's Day Retreat,NA,50,"Spent Mother's Day with my mom and sister [Mom to 5 kids!] at Oakwood Joy and it was great :) check in was good [could be faster, though] but the room was amazing, as always. This has become my fave retreat away from home.   Will definitely be back."
225,March 2017,15 mins walk to SM mall,NA,40,"Stayed for a weekend , was attending a wedding for a friend. Friendly service at reception , hotel was actually more like service apartment concept . we got a room , it had a small kitchen area , with all the cooking utensils, great for people who wanted to cook. No complaints on overall stay but fittings in rooms were a bit worn out. Super comfortable King size bed. Great location , you can walk to some fast food restaurants 10 mins away. Close enough to SM mall to walk."
226,May 2017,Could be better but ok.,NA,40,"We stayed for 4 nights. Arrived late from a 9 hours flight. Exactly arrived at the hotel at 12:30 early in the morning.   I've asked for the reception if she can upgrade us since we are a repeat customer but said she will try. Talked to the approving officer at the back then came back told us apologizing she can't...  told her the case why but our request was rejected. Anyway, moving on, as we are very hungry from a very long flight wanted to order food but told us restaurant is already closed... :(  Food, was ok. Only a few selection...   Our room cleaner Gon was very accomodating. And did his job well. He see to it our room are clean and well kept. Despite his tiring tasks he maintain and very consistent with his very cheerful disposition. The hotel is lucky to have him.  "
227,May 2017,Not as good as previous visit,NA,40,"The staff are incredibly friendly and helpful at Oakwood, always. The rooms are spacious and comfortable, have everything you need, and breakfast is good.  The location is great if you need to be in Ortigas.  I even walked to MRT in about 10 min. I also borrowed a good movie on DVD one night. Room service is good but the food quality is variable depending on what you order (i was not impressed by the pizza, for example). I have stayed here before and there were drawbacks this time. My room had a musty smell.  This was annoying upon entering the room, though I mainly experienced it in the foyer/kitchen area. The other serious drawback was that I was on a low floor and there was a construction site immediately across the street -- operating equipment all night long. This was a"
228,November 2016,Home away from home and Friends became family!,NA,50,"The top experience I had at any hotel world wide. A True Professional staff. Clean rooms, wonderful facilities and a southern hospitality feel. Excellent long term guest benefits. The Oakwood team made my 5 months away from my home very enjoyable. The Food and Beverage team took care of me every night with cold strong drinks and excellent food (Thanks KB and team). The daily warm welcome of the reception team made my come and going very welcomed  and secure (Jake and team). The wonderful members of the Sales and Marketing team (Lorie and team) completed my trip with excellent friendship and professional treatment. I will never forget my stay at Oakwood Manila and I look forward to another trip there one day. Finally I will enjoy the continued life time friendship with the entire"
229,April 2017,A great service apartment in the heart of Ortigas!,NA,50,"Every corner of this hotel is definitely worth great feedback. Oakwood Premier exudes class, elegance and grace.   Entering the hotel was such a bliss as you could already feel that it is going to be a great stay. The staff were so warm and the interiors were superb. The one bedroom comes with a generous space that I could even run around.  My favorite part is definitely the detached bath tub. I soon learned that I can also transform the toilet into my own steam room. If I had enough time, I would have tried the kitchen. The kitchen had an oven and a dishwasher!   The cherry on top of the staycation is the Trivia Night at the Oakroom Lounge Bar. It was such a fun experience to hang around and be in a friendly competition with the staff and other guests. We won beers for winning"
230,April 2017,"Friendly housekeepers, happy stay",NA,50,Imagine the relaxation of the staycation if the room attendants are very hospitable and friendly? If you are to go here I suggest you request higher floors especially 17th floor. i just forgot the name of the room attendant.
231,April 2017,Excellent Service,NA,50,Very good service and courteous staff!Nice ambience and complete room facility!Will be going back definitely! Had a very relaxing and comfortable stay. Value for money hotel within Ortigas business district!
232,April 2017,Price & Service Mismatch,NA,10,"Better to choose other hotels within Ortigas. When it's pricey, it doesn't mean that the overall service is good. -walls not soundproof, maybe made of light materials. We're being heard even if we're just talking using our normal voice. Thus better not to talk and just sleep.  -elevators/key cards not working well. I asked for replacement and the process was too slow. -poor customer service, not courteous front desk officers -drainage at the shower area not working well  Won't be choosing and recommending this hotel to others."
233,March 2017,Disappointed!!!,NA,20,"Parking was an issue. Next, when we checked in the front desk was fast however when we entered our room it smelled like smoke. I called the frontdesk inmediately and she said it wasna smoking a floor. Seriously, is that the hotel protocol, she even saw me with my kids. I said i want to be transfered , she said its imposible due to high occupancy rate. She said she will just give me an ionizer. I said its okay just prepare an ambulance anytime starting today. My 2 kids have asthma. As ive said in all my reviews , i gauge the hotel room cleanliness based on the asthma attack of my kids. Anyway she immediately told us to go down.. when we went down, i saw my colleagues there falling in line to check in. To my surprise all of them who came late were given non smoking room and a"
234,January 2017,Staycation,NA,40,"This hotel has a complete amenities that you didn't notice that you left home from their kitchenette, laundry area, dining room, living room it was so comfy to stay here.  Aside from the shower area, they still have more room for the bathtub and a tv monitor.  Imagine the relaxation of the staycation? That is why my kids considered staying here than going out of town...they said this is relaxation!  Please be reminded for those who have asthma that they welcome pets in their rooms.  But the room is still spotless! Check-in and check-out took us 30-45mins due to the occasion.  Beyond that we were taken good care of."
235,April 2016,Somehow frustrating,NA,30,This is a very long overdue review but nevertheless its worth sharing to readers.  Rooms is well appointed though you will notice some wear and tear like chipped edges on baseboard skirts and cornice.  I love the toilet and bath with a small tv monitor.  My frustration came in when I complained about the bagging noise at around 1130PM.  They said they will look into it and give feedback.  after 20 minutes the noise was stopped so its a very good action they made.  However at past 130AM when I fell asleep already a call came in just to say that they did not find any noise activities near my room.  It's a wee hour and they have the courage to call up. Very wrong judgement call.  The following day I looked for a DM and shared my concerned.  She apologized somehow but I did not feel
236,March 2017,A day is not enough.,NA,40,"It was an overnight stay for a product pre-launch. We arrived at the hotel at around 3pm. The check-in was speedy and our group was delighted because we were still accommodated for lunch at their buffet. Sad that i had a bad headache so i opted to stay in my room on the 18th floor. I was impressed with the facilities, the way they tucked the different sections of the room like the laundry area, the ironing stuff, the safety box, in such a way that it still had enough room for my belongings. The area is magnified by a generous number of multipurpose mirrors/cabinets. I love the way they separated the mini kitchen from the bed through a comfy sofa and a work table. The only thing i'd like to emphasize is that if you just can hop out of your room and look for a nearby place to"
237,March 2017,"Nice room for families, but parking was problematic",NA,20,"We stayed in a 1 bedroom suite recently. The room was aptly for a family staycation. The room's foyer was spacious enough to serve as our Playstation game section. My biggest peeve about this place though was the parking problem we experience on our second night. We had dinner outside and when we returned to the hotel to park, we were informed by the guard that ther was no more parking. He even said that there was no more space via valet. His recommendation was that we park elsewhere, at an open air parking lot beside the hotel. This really destroyed the good experience we were having prior. I went to the front desk and talked to someone handling the cars (I have to note that they were fairly flustered; likely due to the influx of people for a wedding the next day). In the end,"
238,March 2017,Perfect for family Staycation,NA,50,"We stayed at Oakwood for 4 days and 3 nights and they gave us 2 different 1-Bedroom Executive Suite (for me and my husband while the other one is for my sister, brother, sister-in-law and my niece) with a very lovely and spacious bathroom with its own steam shower! My niece enjoyed the bathtub while watching her cartoons, Yes, there's a tv inside the bathroom! how cool is that? I enjoyed having the dishwasher and washing machine inside the room especially we have lots of dirty clothes from our Cebu, Bohol nd Palawan trip. Yey! Less work for me!  I think this location is more for business travelers but it has a homely vibe that families can also enjoy! The breakfast buffet at the restaurant has a lot of great options. We also tried their restaurant which is The Nostalgia"
239,March 2017,Awesome,NA,50,"I have all praises for this place. At first I thought it was only physically beautiful , comfortable and functional . But what I really appreciated was the service and the extra mile their staff gave us . Then came the test of the extra mile . After we checked out ,  I actually left something in the room ,. I called them to ask about it and when they found it they went all out to look for me and tell me indeed l left something.. How awesome is that? How many institutions would bother about you after you have paid and left?  Go book yourselves there to confirm my review."
240,March 2017,Dont understand the fuss about this place for multiple reasons,NA,30,"Ok--so first I can say I wouldn't voluntarily go to this section of Manila if you paid me. Why do you want to stay and be forced into one shopping mall after another to eat at a restaurant and find basic snacks? My idea of hell. Unfortunately its the turf of Asian Development Bank and other corporate actors and malls are just too popular in this town full stop (think Emirates). As noted, all units here have a kitchen (requiring you to go to mall based grocery stores if you choose to use them); rooms 'junior suites' are not large, you can get a nice view on upper floors (18 &up) and the aircon made both my friend and me miserable (low isn't low and again its direct). Breakfast is overpriced if not included in your rate and the bar and restaurant on 6th floor were justifiably dead"
241,March 2016,fantastic place!!!!,NA,50,"Compare to other hotels here, Oakwood is excellent. You can enjoy big and clean room, and you also can enjoy your stay here. They have good gym and swimming pool. Breakfast is good enough than any other hotel nearby. The best thing is that if you have some business with ADB, Oakwood is just in opposite. It is convenient when some forum holding in ADB. BTW, you can get good price if you stay here for attending ADB's any forum or activities."
242,January 2017,A night to remember....before the wedding,NA,50,"We occupied a one-bedroom suite.  It was clean, spacious, the kitchen was great.  The toilet and bathroom were clean and had enough towels and toiletries.  Didn't have time to use the bathtub but my son really enjoyed it because there was tv inside.  The front desk personnel was very warmth and helpful as well as the porters and bellboys.  We really had a great time and made the following day, stress-free, and made us ready for our son's wedding in a church nearby.  The free buffet breakfast was sumptuous although there wasn't enough food variation, but the friendly and helpful staff, however, more than compensated  Please take note that if you want a king size or twin bed, request for it when you make your reservation.  I highly recommend this hotel for families of the groom"
243,February 2017,Terrible service,NA,10,"I've been in hotels in Europe with pompous staff but this one is the worst that I've seen.  The front desk officer that I had to interact with seems to be irritated whenever you have a concern.  Checking out, that same person didn't even bother to warn me about the construction that was happening at the opposite lobby where the elevators are going to the basement parking. I had my 5 year old son with me and we had to hold our breath as we waited for the elevator for there was a thick cloud of dust covering the area.  We can't even go back to the other lobby as we've surrendered had the key card upon checking out.  TERRIBLE TERRIBLE TERRIBLE"
244,March 2016,Stay-cation beyond what you deserve! :-),NA,50,"So, my friend and I were invited to stay for night in Nostalg and it was AMAZING. The room itself is overwhelming. We stayed in a two-bedroom executive suite. It was amazing! You wouldn't want to leave your room. Seriously!  You have everything your need. • Bathtub with TV infront of you as you relax. • Big rooms. • Big guest area.   Oh Boy!! The amenities are awesome. Bar, Gym, Indoor Pool and Jacuzzi ... You'd love it!!  The food? Classy and Satisfying!!   Service and Security? 2 Thumbs UP!!  Enjoy!!"
245,December 2016,The most charming suite room ever!,NA,50,"All rooms are simply elegant and charming :) The furnitures and appliances are top rated and I adore (super adore) their bathtub! My daughter enjoyed the indoor pool even though it was a bit small, it was still good because of the warm water."
246,February 2017,lovely staycation but unpleasant breakfast,NA,20,"i love the interio of my room. very chic and modern. i was amazed when the shower room has a steam. no complimentary welcome such as fruit platter. the pool was warm and clean.  i had a breakfast at nostalgia dining lounge 6/F. i was not feeling well. limited array of food. and the waiter was so rude. i was asking for a glass of water and he just pointed the location of the water. it's like he was asking me to get it from there. very unprofessional. may be if you can compensate me for the bad experience, i will come back in this hotel."
247,February 2017,Great place to stay at,NA,40,"We stayed at the hotel for 3 days and 2 nights (February 12-14). I was really impressed with the room, it looked like a small condomimium unit. The room's kitchen was fully furnished and we had fun cooking our dinner. The shower room in the bathroom also allows you to have steam while showering. The hotel was also near malls like Megamall and Podium so you can visit the malls when you feel bored.   The breakfast buffet was okay, however we felt that the options were very limited. The restaurant looked elegant. The pool was also beautiful and the staff were really accommodating and nice.   The only cons we could think about the hotel were: -The walls are thin: You can hear the people talking outside of the room very clearly. You can also hear the opening and closing of the doors"
248,January 2017,AMAZING,NA,50,"I absolutely loved my stay here at the Oakwood. I was there for two weeks and there wasn't a single thing I could fault. I stayed in a one bedroom suit kitchen was great, very spacious living and bedroom, and the bathroom was amazing too; great size shower free standing bath with a tv. All the staff were very friendly and helpful. Hotel is in a great location too! If I ever go back to Manila I would stay here again. Thanks for making my time in The Phillipines amazing. "
249,July 2016,Lovely accomodation with everything you need,NA,50,"I stayed at the Oakwood on a business trip for 6 weeks.  The 2 bedroom suite had everything I needed - washer/dryer, fully equipped kitchen, comfy lounge area and roomy bedroom.  The staff were all excellent and were at hand whenever anything was needed.   The only downside I experienced was a couple of weekends some rooms were booked out for a night at a time for large groups of people holding parties, which made for noisy neighbours and disrupted sleep, especially when you wanted a weekend sleep in after a busy week at work.   There was also a construction site across the road that was noisy all night long.  You can always ask to be moved to the other side of the building away from the building site."
250,December 2016,Literally Home Away from Home,NA,50,"Firstly, the title of the review was the first words that I came to my mind too after reading paupau1881's review title.   If I needed a place to stay long term, this would definitely be one of the shortlisted choices immediately.   In the fully equipped kitchen, microwave, oven, fridge, washing machine, induction cooker, kettle, coffee maker.Literally everything you need for to making a stay more convenient.   Moving on to the living room, yet another spacious set up, dining table for 4, side table, sofa and chairs are also homely and welcoming. Especially the sofas, some of the softest you can melt into, though the fastidious might be concerned about how to keep the cushion and suede clean between guests, but I digress.   The bed room, again, set up for 2, easily can"
251,January 2017,Disappointing! ,NA,10,"Only hotel i've ever stayed in where my son was not allowed to swim before check-in time!!! I told them im not asking to check in to the room, just for 1 kid to use the pool and the oakwood person still said no. I asked to speak to the manager and he said he was busy and would just call me back. 5 days later and still no call. Awful customer service for a $120 a night hotel. I wouldve cancelled my booking if it wasnt nonrefundable"
252,January 2017,Home away from home,NA,50,Me and my partner had our staycation at Oakwood Premier Joy for 2 nights. We stayed in a 1-bedroom suite. The suite is spacious and well maintained. All the staff are very courteous and friendly.   Location is very good as it is accessible to malls and to my dentist's clinic. 😊  We were not able to use the pool because of some renovation though. 😞  Will definitely go back! 😊  
253,January 2017,Good location and spacious room,NA,40,"I was in Manila for an ADB meeting, and the location was perfect for that. The room was quite spacious and had a kitchenette, a large fridge and a washing machine. The separate writing desk was quite useful for my work.  The view was nothing great showing construction activity.  Internet was quite good. The breakfast included in the price  had variety though choice was not great.   Both the Robinson shopping complex and the Mega Mall are within walking distance. The Asian Development Bank is across the street.  The staff were friendly and always prepared to help. For the price I paid, it is very good value. I am however, not sure whether some packages come without breakfast or internet."
254,January 2017,Oakwood stay,NA,40,"We stayed here for my husband's birthday last January 2016. The location is good because it is very near my office and my daughter's school, and of course the major malls of Ortigas Center. The hotel is classy although it also has several floors that are offices, so basically the lobby is divided into two, for hotel guests and the other for office workers. The food is a bit pricey but just right since quality is good. The room is modern and comfortable, but to our dismay, there seemed to be a problem with their drainage system.. we got surprised when all of a sudden, water from the bathroom was everywhere and even reached the bedroom and the sala area. We did enjoy our stay, except for that incident."
255,January 2017,Love the Space!,NA,50,"We decided to return to the Oakwood after having stayed here a couple of times over a two year period.  No disappointments here except for a couple of minor issues.  The location is a convenient walk to The Podium and Robinson Mall.  With a stretch, you can also walk to Mega Mall.  Taxi drivers are more courteous now with Uber operating here.  Nice to have the choice. Our room included the breakfast buffet in the Nostalgia Restaurant.  They do change up the food items a little each day for limited variety.  WIFI in the room is strong but weak in the lobby area. Unfortunately, the swimming pool was under maintenance so we were not able to avail ourselves of its use.We started off in a studio but found it too cramped.  So we upgraded to a one bedroom which is hugely roomier with"
256,January 2017,Very Disappointing. Will NOT recommend!,NA,20,"I am very disappointed by the room at Oakwood. This is my experience with the room:  1, It was dirty - someone else's hair and bits of trash scattered everywhere, especially the bathroom.  A large hairball was fell out of the supposedly clean, folded bathmat.  2. It was bad quality - the toilet bowl clogged REPEATEDLY (twice already in 12 hours, and I have one more night here!!!!).    3. It was unpleasant -  POOR SHOWER DRAINAGE. Water accumulated till 1.5 cm at my feet during shower and took 20 minutes to drain completely!  4. It was appalling - the pillows and bedsheets SMELLED BAD, probably of previous guest(s). You will not find freshly laundered linen here!  5. It was FREEZING. The thermostat does NOT work."
257,September 2016,Good proximity to ADB.  Good hotel.  Expensive food. Whisky Bar has a GREAT range!,NA,40,"Was there for several days of meetings with the Asia Development Bank which is a walk straight across the road.  So proximity to ADB was excellent for me. Rooms were nice.  The whisky bar is excellent with a brilliant range of whisky from across the world. Food and drinks in the hotel were expensive so definitely worth taking a walk to find restaurants nearby, or in the nearby malls.  We found a good Japanese in a nearby mall."
258,December 2016,Extraordinary,NA,50,"Such large rooms!  We booked 4 rooms for 2 nights for 4 families getting together.  It was a perfect place for such a large gathering.  The rooms were large enough to accomodate everyone in 1 room for dinner or just for lying around.  You can retreat to the privacy of your bedroom if you have guests in your room since the bedroom can be closed off.  It has everything needed in a serviced apartment.  A bathtub (with tv), shower with steam, and his and hers wash basin, completes the creature conforts.  Perfect for our purpose. Wow!"
259,February 2016,Excellent hotel,NA,50,"Very spacious rooms, with all kitchen utencil, excellent breakfast and good range. Staff is attentive. Overall, I am always excited in staying in this hotel. You will find shopping malls in walking distance."
260,December 2016,#2 Hotel in the Area but #1 if You Don't Need All The Extras,NA,50,"Stayed here for a night before Christmas, we got the studio room in a smoking floor (Yes, they have one) The room was spacious given that it was one of their smaller rooms, it had a big and comfy bed, A sitting area with a sofa, a fully functioning kitchen, walk in closet and even a study area by the washer and drier. The bathroom is pretty big too and the shower area doubles as a steam sauna.   This is a place you can definitely stay for long periods, the location is great (walking distance to the surrounding malls, a convenience store across the street from the rear entrance) and a very homey feel to the room.  The breakfast that it came with was decent, the regular smorgasbord breakfast selections, nothing to really rave about but you can't not find something to eat. The"
261,January 2017,Quality time with the family plus holidays.,NA,50,"Me and my wife visit Manila to stay with my son and daughter in low. City looking good, multi storages buildings. This city looks made of concrete. Sky high buildings. Worst things are here is traffic. I have visited many cities before but traffic I have seen or experience anywhere else. Oak wood hotel is about five star hotel. Good hotel all round. Happy to be here."
262,January 2017,Disappointing service,NA,30,"Although we encountered a few kinks in our room, like broken door locks (both main and room) & trash bin and slow internet connection, we still loved it as it was very spacious, clean, with a functional kitchen, a sauna and bathtub with tv. Gym is great. Breakfast, ok.  What we didn't like were the services:   1. Housekeeping. The phone just kept on ringing and when it went through, took about 15 minutes or longer for them to deliver the things requested;  2. Although kitchen is functional, everything comes with a price though they should be included in a kitchen, like some detergent, can opener or even an additional plate;  3. And this last one was what really got on my nerve, if not for Christmas season, I'd give a lengthy lecture to the staff of this service apartment."
263,March 2016,Don't go if you have food allergies!,NA,30,Lower floors are spacious and generous; however extremely noisy!  So beware!  Also the vents are connected.  Was not happy to wake up to fish smell at breakfast from the next unit.  I was here on business.  I also had an allergic reaction from breakfast buffet.  How seafood can be mixed in scrambled eggs?  There bar had strong cigar smoke that emanated into main dining area gave me a headache.  Only selected this accommodation do to proximity to office location.  My colleagues enjoyed it though. 
264,December 2016,Okay,NA,40,My stay experience was very nice. Staffs are very nice to us when we stayed here. But i must say that the quality of the amenities is just okay. I dont know why. Its just not a five star thing for me.
265,December 2016,staycation,NA,50,"My family and I decided to have our yearly staycation here in Oakwood. We had a great stay in our suite and it is very comfortable and the have very nice amenities. I am just wondering why they don't have bubble bath soap ready since the hotel has a bath tub, it's the only thing lacking in a perfect bathroom, and by the way please check regularly the handshowers in the bathtub area, it's not functioning well. While waiting on the lobby, I observed that some of the staff are courteous and they are not friendly and approachable, it seems like some of them are being picky on whom hotel guests they want to accommodate. I may say that this is a good place to relax but not so good customer service."
266,December 2016,"Ok, but not premier ...",NA,30,"Spent 2 weeks here in a 1-bedroom suite. Meets all the basics for a relatively expensive serviced apt complex. But ""premier"" would require a bit more work.  Building is nice, everything works, staff are pleasant. Dual purpose office building so you compete with workers in the lobby in the morning, but this is not disruptive. Don't rely on Oakwood for transportation - our confirmed car failed to pick us up at the airport. Front desk and concierge are hopeless at procuring a cab. Download Uber before you arrive and make your own arrangements.  Clean, well furnished, and well staffed but with significant areas for improvement. Big issue is wi-fi - open system with no password required and a big warning that it is not secure. If you need secure wi-fi or are worried about your wi-fi"
267,December 2016,Customer service,NA,50,"My wife and I have stayed at various hotels in Manila however The Oakwood Premier is by far the best for various reasons. First. We are present in a ""Studio Apartment"". The apartment is FULLY serviced and that covers everything down to shampoo, conditioner and even fresh ground coffee for the coffee maker, and these items are complimentary EVERY DAY!!! As for the apartment, it has the usual but what both my wife & I REALLY appreciate is the ""State of the Art"" kitchen with FULL size refrigerator (NOT Bar Fridge), Oven, Convection Microwave, plus all necessities ... Pots & pans and the coffee maker ... Time for a coffee!!! Next. Most hotels charge ""an arm and a leg"" for laundry services ... No need to pay that here as the apartment is supplied with a NEW Samsung washer/dryer."
268,December 2016,"Nice place, but a few flaws",NA,30,"We stayed for four nights in mid-December - two adults and two children. Overall we had a positive stay: the room was mostly really nice, the view was terrific, the breakfast buffet was great, and the staff were friendly and helpful. But there were three main downsides to our visit. One, we had four people staying in our room (which we had clearly advised prior to check-in), but the room was really only set up for two people. Things like only being provided with one bowl, three plates, two knives, two towels, etc (not to mention no dishwashing powder or liquid, no sponge or cloth, etc). Two, we booked this hotel partly because we wanted a laundry, but the dryer didn't work well at all (clothes were still really wet after the full cycle finished), so we had to put wet clothes all"
269,November 2016,Awesome hotel !!,NA,50,"One of the best hotel I have ever stayed accross the world ! Nice location, just opposite of ADB Head Quarter, very close to big shopping malls, restaurants etc. Quite spacious suite room. Big bed room with quite big bathroom with tub, shower closer, tv...Equally big living room with most modern kitchenette. Breakfast room was another big attraction to me, it was nicely decorated. Food quality excellent as well. Got special price through ADB. Only negative I found that staffs are not friendly enough which no way match with the quality of this hotel."
270,September 2016,Luxurious stay,NA,50,"We stayed for 1 night to celebrate my niece's birthday. The suite was spacious and didn't feel boxed in like a normal hotel room. Furnishings were quite elegant, bedroom was massive and bathroom had a tub and a TV (which got my boys' vote). We didn't get to try any room service as it was walking distance from Podium and Megamall (which was the main reason we chose this hotel). The room came with free parking. Pool area is great for lap swimming as well as for kids. Staff at the pool/gym area need a bit of training as we repeatedly asked for the spa to be turned on and he never did, We would stay here again if we ever find ourselves in Ortigas area."
271,December 2016,"Spacious apartments, quite a few glitches",NA,30,"We stayed in a 3 bedroom apartment to celebrate our daughter's birthday. The apartment was very spacious, bathrooms were very nice with good amenities and the living, dining & kitchen area was very nice. The kitchen was complete. But you need to pay for detergent for the dishwasher. They did not provide kitchen towels, dishwashing soap & sponge. It was also disappointing to find out that you have to pay for a bucket of ice and pick it up yourself at the restaurant. Other hotels always provide this for free.  Our check in time was supposed to be at 3:00 PM but the room was not ready until 3:30. We had to wait in the very small lobby for our room to be ready. When we got to the apartment, there was a really bad smell. I had to call for them to check it out and do something about"
272,November 2016,Great Staycation,NA,40,"+ Spacious 1 bedroom + Great facilities like living in an apartment + Perfect bathroom with tub and stream in-room system + Pool is clean with temperatures control  - Even it's located in Ortigas, surrounds with malls, but if you have to get into Makati or BGC, it's too far and not convenience."
273,October 2016,Not as perfect as my first stay,NA,40,"I still enjoyed my stay in their one-bedroom suite, couldn't ask for more.  Had all i needed.  Noticed some fixtures, appliances and bathroom fixtures showed signs of wear but they were all still good.  My only frustration was during the check-in.  We waited for more than 45 minutes, so did most of the guests who arrived together with us.    Breakfast at Nostalgia Restaurant was superb.  Great food, nice set-up.  I still highly recommend this establishment despite their minor hiccup during the check-in."
274,March 2016,Superb!,NA,40,"If you are looking for good service and really clean sheets to sleep on, this is the place to be.  I love that its like a home away from home where you can enjoy freshly cooked food within your room.  The hotel offers a quiet and quaint contemporary feel.  Highly recommended for those who want to really enjoy their home away from home.  Must stay!"
275,March 2016,Costly for a serviced apartment,NA,30,"I usually book hotels around Makati but had events within Ortigas that we had to choose a hotel within the area. I always prefer serviced residence type of hotel because we're allowed to cook and still feel like you're at the comfort of your own home. Discovery Prime was top of mind but its in Makati. Oakwood, by description was perfect.   However, they'll charge for anything extra you ask of them. I'm used to requesting for additional plates, utensils, the likes. (max 2 or 3) in other hotels for FREE. Oakwood will charge you per piece. Staff isn't friendly. Slow response (even if you're paying for it) when you call for room service/housekeeping. I plan to go back next year and hoping to see some improvement."
276,October 2016,It just keeps on getting better and better.,NA,50,"The staff are prompt and courteous, the place is meticulously clean, and we just love the complete cooking and washing setup that comes in every room (we've booked their one bedroom deluxe and two bedroom executive).  Oakwood is the best so far (when it comes to amenities, services, and cost), compared to other popular accommodations within the area that I have experienced."
277,December 2015,Good stay in the heart of Pasig City business center,NA,50,"A good hotel cum service apartment. The studio rooms are split into a kitchen, a lounge and the bedroom. The rooms are equipped with microwave, washing machine and if i remember correctly an induction cook top. The rooms are pretty neat with cozy feel to it. The hotel serves some good food - loved their pan asian breakfast spread that had a it of local delicacies, Chinese, South-east Asian and Indian dishes. More often than not, I dined at the hotel's restaurant which serves amazing beef burger with fries. The place is aptly located in thebusy Ortigas business area. There are lots of dining options around this hotel - personally tried Congo Grill, Toby's Estate and Star Bucks."
278,September 2016,"Simple, efficient with all the quality you need",NA,50,"From the first greeting at the front desk to the day I left, I could find nothing but positives about this good quality hotel. The decor is modern and clean.  The rooms are spacious The staff are courteous and friendly The security in the hotel is very good Restaurant and room service food is very good quality, if only lacking in choices. 2 minute walk to the Podium 5 minute walk to Robinsons Galleria 7 minute walk to Megamall 10 minute walk to Metrowalk  Looking forward to returning there soon."
279,October 2016,Very good hotel ,NA,50,Fantastic Hotel with clean and comfortable rooms. Special call out to the lovely Santi at reception and the amazing chef Marc who made my stay unforgettable. The lovely guy who cleans L23 is also one of the most helpful ataff I have ever met. I stayed in the hotel for work for a long stay and would definitely recommend this hotel to anyone else. Convenient location amongst the malls as well.
280,September 2016,Fantastic location for business or leisure,NA,50,"Great location and fantastic facilities. The Gym is large and lots of weights / cardio options and access included in your night stay. Lots of people utilize the pool or spa for relaxation or exercise.   The rooms are very spacious and well equipped, go for the 1 bed and have some extra space and a separate lounge room. The kitchen is very well equipped with everything you would need to make your own food.  The breakfast and range / freshness is amazing, I am never without enjoying a delicious breakfast of fruit or eggs, asia or western inspired.   The hotel offers a spa for massage and facial and a car service pick up from the airport which is nice and easy.   I enjoy staying at this hotel because of the location however I keep coming back because of the friendly and supportive"
281,October 2016,Home away from home,NA,50,I have been blessed to be staying at the Oakwood for the last 9 months while on assignment in Manila. The Oakwood offers all the comforts of home with 5 star service that makes you feel like family. The rooms are gorgeous with high quality furniture and appliances. The bathtub is to die for. The breakfast buffet has more choices than you could ever want or need. However the best part of this hotel is the staff. Everyone treats you like a friend from the restaurant to the doorman to the housekeeping staff. They will go out of their way to get you whatever you need. They are always friendly and professional and they have made this year so much easier in a foreign country just by being themselves. I will be glad to return to Canada soon but I will miss the friendly faces at the
282,October 2016,Quality condo-style accommodation,NA,40,"Oakwood suites occupy a building that has office accommodation at the front, on ADB Ave, and the hotel at the back on Topaz Ave.  You can go through the small corridor from the front entry to the hotel lobby at the back.  Check-in was a little cold (sorry Lala, try to smile a bit sweetie) but quite quick and efficient. The porter will take your bag and show you around your room.  The one-bedroom suite was very nice, quite large and with a kitchenette and washing machine. The furniture and fittings are all tasteful and in good condition.  You'll get the normal cable TV channels, but... no Discovery channel!  Hay naku!  Free WiFi is also provided and it is stable and quite fast.  The bathroom is quite attractive, with a large free-standing bath on one side.  But the shower heads"
283,May 2016,Excellent Value for Money,NA,40,"I stayed here in May 2015 and i should say this was indeed value for money. I know i am writing it late but hey, better late than sorry. I stayed in the studio apartment and the room was very spacious. It had a kitchen with oven, stove, microwave, fridge and coffee machine.The room also had a washing machine and dryer. Never tried the breakfast or lunch since i used to work late night and come back and crash in the morning. Nearby: Its about 2 minute walk from Robinsons Galleria and 5 minute walk is SM Megamall which is huge. Take a taxi and round the corner you will another mall. If you want to have an India Food there is a restaurant in Robinsons 5th floor.  So all in all a good business hotel, with all amenities, far from tourist zones and yet within reach."
284,July 2016,Staycation with friends,NA,40,It was the last day in ph of my partners cousin so they decided to check in a hotel so they can spend the whole night sharing stories with a few bottles of beer! We stayed in their 1 bedroom suite which was perfect since it has a complete kitchen a sala and had a kingsized bed inside the room. Check in was quick and easy. Location was perfect it was almost across podium and a few steps from rob galleria.
285,October 2016,Staycation with girlfriends,NA,50,I love everything about this place. Stayed in a 1 Bedroom Suite. Room size is extremely big. Actually I think the room might actually can accommodate 20 people in on time perfectly. Love the fixtures in the room. Kitchen is superb you have everything you might need.  We enjoyed the swimming pool area during the evening IT'S HEATED we love it. This place offers your every thing it's like owning your own condo unit. And location is absolutely nice walking distance to Robinsons Galleria and SM Megamall. And just a cross Podium. If incase you want some emergency foods in the middle of the night there is a Ministop at the back near the lobby area. I would highly recommend this place again to my friends for another staycation.
